Japanese,English
「どこ行ってたの？」「友だちを見送りに駅へ行ったんだ」,"Where did you go? ""I went to the train station to see a friend off."""
天気が悪くて出かけられなかった。,Bad weather kept us from going out.
全市に夜間外出禁止令が布かれた。,A curfew was imposed on the city.
彼女は背が高く、ほっそりとした金髪の女性だった。,"She was a tall, slender blonde."
私は彼にお茶を入れるよう頼んだ。,I asked him to make tea.
ペンがなければ鉛筆でもかまいません。,"If you don't have a pen, it's OK to use a pencil."
僕のジャケットを見なかった？,Have you seen my jacket?
今トムね、ボストンにある病院に入院してるのよ。,Tom is now in a hospital in Boston.
彼らは一番電車に間に合うように早く出発した。,They left early to catch the first train.
トムは歩き続けた。,Tom continued walking.
彼女は一生懸命働いた。,She worked hard.
トランプで遊ぶのはとても面白い。,Playing cards is very interesting.
第一印象は大切だ。,First impressions matter.
来週の月曜日にもう一度お寄りになってみて下さい。,Try us again next Monday.
次の４月でわれわれはここに２年住んでいることになる。,We'll have lived here for two years next April.
政治家が、インサイダー取引を包み隠そうとした。,The politician tried to cover up the insider trading.
彼女は結婚するタイプではない。,She's not the marrying type.
この絵を描いたのはトムだ。,The one who drew this picture was Tom.
2時半に会いましょう。,See you at 2:30.
家は丘の上にある。,The house is on the hill.
鮫は魚を食べます。,Sharks eat fish.
彼はぐっすり眠っているよ。,He's sound asleep.
うそをつくのは悪いことだと思う。,I think it's wrong to tell a lie.
トムは全くフランス語が話せない。,Tom can't speak French at all.
トムはメアリーの手を握りしめた。,Tom squeezed Mary's hand.
何時に出る？,What time are you leaving?
銀行って、月曜日やってる？,Are banks open on Monday?
休みがもうちょっとで終わっちゃうよ。,The vacation is close to an end.
英語を勉強しましょう。,Let's study English.
彼は５マイル走った。,He ran five miles.
警察に通報するべきだよ。,We have to notify the police.
今週の話題は地球温暖化です。,Our topic for this week is global warming.
その美しさは言葉では表現できない。,The beauty is beyond description.
彼らは南極を探索した。,They explored the Antarctic.
あれは本当につまらなかったよ。,That was really boring.
だれかが私の腕をつかんだ。,Somebody caught me by the arm.
トムはメアリーに彼のことが好きか聞いた。,Tom asked Mary whether she liked him.
私はあなたがそんな事をするのを許すわけにはいきません。,I can't allow you to do that.
彼は前の週に日本に来ていたと言った。,He said he had come to Japan the previous week.
留守の間、私の犬の世話をお願いしたいんですけど。,I'd like you to look after my dog while I'm gone.
トムはボートを持っている。,Tom has a boat.
君の車を貸してください。,Please lend your car to me.
私のこと知ってるの？,Do you know me?
最近、吐き気を感じたことはありますか？,Have you experienced nausea recently?
頼むから、言うことを聞いてくれ！,Please just listen to me.
彼は部屋を片付けた。,He put his room in order.
彼女がそんなことをあなたにたずねたなんて妙なことだ。,It is curious that she should have asked you such a thing.
お母さんのお手伝いをしないといけないの。,I have to help my mother.
コーヒーください。,Please give me a cup of coffee.
彼女は彼をつねった。,She pinched him.
クッキーはテーブルの下にある。,The cookies are under the table.
私は彼女の赤ちゃんの面倒を見なければいけなかった。,I had to take care of her baby.
父は私の宿題をよく手伝ってくれる。,Father often helps me with my homework.
彼は足が長い。,He has long legs.
そのネズミは生きているのか死んでいるのか？,Is the rat alive or dead?
どのくらい待たなければいけませんか？,How long will you have to wait?
電車で行こう。,Let's go by train.
こんな寒い日は外に出ないほうがいいですよ。,You'd better not go out in this cold weather.
私はやっと従兄弟を説得して私の案を受け入れさせた。,I managed to persuade my cousin into accepting my plan.
私達は月に１回ここに集まる。,We meet here once a month.
私の隣人はいい人だ。,My neighbor is nice.
彼はそのなぞなぞを難なく解いた。,He had no difficulty explaining the mystery.
トルコのどこに住んでいるんですか？,Where in Turkey do you live?
コーヒーに砂糖は入れないんだ。,I don't put sugar in my coffee.
トムは自分の書類カバンからスコッチのボトルを取り出し、メアリーに手渡した。,Tom took the bottle of Scotch from his briefcase and handed it to Mary.
たとえいくらかかろうともその傑作は手に入れると、その大富豪は言い張った。,The millionaire insisted on acquiring the masterpiece no matter how much it cost.
最終的には、彼女は何とか昔の友達に連絡を取った。,"At last, she was able to contact her old friend."
彼の言ってることを理解する事は困難です。,I found it difficult to understand what he was saying.
こんなことしそうなのは誰だと思う？,Who do you think would do such a thing?
テーブルにあるこの本、誰の？,Whose book is this on the table?
誰がミスしたと思う。,Who do you think made that mistake?
彼女は道に迷ったとき、彼の忠告を聞いておけば良かったなぁと思った。,"When she got lost, she wished she had followed his advice."
この近辺で私はいつかレストランを開業したいです。,I'd like to open a restaurant in this neighborhood someday.
私は当分の間ホテル住まいだ。,I am staying at the hotel for the time being.
君は彼の忠告に従ったほうがよい。,You may as well follow his advice.
また戻ってきます。,I'll be back.
トムがフランス語会話を習ってくれるといいんだけど。,I wish Tom would learn to speak French.
昨夜、でかい地震があったんだよ。,There was a big earthquake last night.
台所でママのお手伝いをしたの。,I helped Mommy in the kitchen.
この単語はどういう意味ですか。,What does this word mean?
あのレストランには二度と行かないことにしよう。,Let's not go to that restaurant again.
昨日の夜１０時ぐらいにさ、お前ん家の近くを通ったんだ。,I passed by your house about 10 last night.
１週間前に彼女に会いました。,I saw her a week ago.
私達は見知らぬ人がおもてを歩いているのを見た。,We saw a stranger walking outside.
申し訳ありません、ただいま満室です。,"I'm sorry, we have no vacancies."
トムがメアリーに惚れることになるとは思っていなかった。,I didn't expect that Tom would fall in love with Mary.
トムってすごく忘れっぽいよね？,"Tom is very forgetful, isn't he?"
いつかカーネギーホールで演奏してみたいです。,I'd like to perform at Carnegie Hall someday.
木は燃えやすい。,Wood burns easily.
トムが泳げないって本当？,Is it true Tom can't swim?
トムってカッコイイと思う。,I think Tom is good-looking.
私はケーキも好きだ。,I also like cake.
それをする気力はない。,I don't have the energy to do that.
その惨事を引き起こした火事は、病院の２階から出火した。,The fire that caused the disaster broke out on the second floor of the hospital.
私は空を飛べないのと同じく泳ぐこともできない。,I can no more swim than I can fly.
公園までは車ですぐです。,It is a short drive to the park.
ちょっと手伝って。,Just help me.
私の大学には寮があります。,My university has dormitories.
あなたの犬は何歳ですか。,How old is your dog?
トムね、大した怪我じゃなかったよ。,Tom was not seriously injured.
ヒューズが飛んだ。,A fuse has blown.
何か変わったことある？,Have there been any changes?
いつ教師になられたのですか？,When did you become a teacher?
彼は病気のようだった。,It seemed that he was sick.
トムは聞こうとしない。,Tom won't listen.
皆さんはお元気？,How is everyone?
絶対に約束を破らないこと。,Never break your promise.
お尻ペンペンするよ！,I'm going to spank you.
もう帰宅するところです。,I'm going home now.
子供たちは先生のまねをしようとした。,The children tried to imitate their teacher.
学校は家から遠いですか。,Is your school far from your home?
僕らはいつもフランス語を喋ってる。,We always speak in French.
もっと分かりやすく説明してよ。,Please explain it more simply.
晩ご飯には何を作るつもりなの？,What are you planning to make for dinner?
今夜は早めに寝ようと思う。,I think I'll go to bed early tonight.
私は末っ子です。,I'm the youngest in the family.
夜更かしには慣れてます。,I'm accustomed to staying up late.
ニュースはすぐに広まった。,The news quickly spread.
はっきりと聞こえてます。,I can hear you loud and clear.
あのマッサージ、気持ちよかった。,That massage felt good.
何か読む物渡した方がいい？,Should I bring something to read?
そろそろ寝る時間だぞ。,It's your bedtime.
あなたに手紙が来ていますよ。,Here is a letter for you.
もう一度それをやってみたが、できなかった。,"We tried it again, but couldn't do it."
トムはメアリーの命を救おうとした。,Tom tried to save Mary's life.
前述参照のこと。,See above.
トムは私を見ても驚かなかった。,Tom wasn't surprised to see me.
今日は月曜日です。,Today is Monday.
トムに会いに行くつもりなの？,Are you going to see Tom?
トムには助けが必要なんだと思ってたんだけど。,I thought Tom needed help.
ここでタバコを吸ってはいけません。,You can't smoke here.
窓を開けっぱなしにしておくべきではない。,You shouldn't leave your windows open.
私はスポーツはやりません。,I don't go in for sports.
明日の夜、また集まろっか。,Let's get together again tomorrow evening.
私はもっと自立したいと思っている。,I want to be more independent.
トムは目をつぶって寝たふりをした。,Tom closed his eyes and pretended to be asleep.
このバスは50人乗りです。,This bus can hold fifty people.
窓の外の騒音のせいで、彼は眠ることができなかった。,He couldn't sleep because of the noise outside his window.
彼は生徒達に囲まれて座っていた。,He was sitting surrounded by the students.
トムにあげるためにセーターを買ったの。,I bought a sweater to give to Tom.
誰か鉛筆持ってない？,Does anybody have a pencil?
トムはサングラスを外さなかったんだ。,Tom didn't take off his sunglasses.
ぽっちゃりした女性が好きです。,I like chubby women.
窓の外の騒音のために、彼は眠ることができなかった。,He couldn't sleep because of the noise outside his window.
トムは自席でサンドイッチを食べました。,Tom ate a sandwich at his desk.
ここでそれをやってもいい？,Can I do that here?
トムはメアリーにビデオを送った。,Tom sent a video to Mary.
彼はSF小説が大好きです。,He really likes science fiction novels a lot.
トムのフランス語はほぼ完璧だ。,Tom's French is almost perfect.
何か他にお薬を服用していますか？,Are you taking any other medications?
トムはドッグトレーナーです。,Tom is a dog trainer.
雨が止むまでここに居ても大丈夫ですか？,Can we stay here until it stops raining?
トムには、上司の計画がうまくいくとは思えなかった。,Tom didn't think his boss's plan was a viable one.
彼は自転車を赤く塗った。,He painted his bicycle red.
よいお年を。,Happy New Year!
どうやってゴキブリを退治するの？,How do you kill cockroaches?
左足が痛みます。,My left foot hurts.
トムは夜間学校に通っている。,Tom goes to night school.
トムは泣き出した。,Tom started to cry.
「彼はすぐよくなるでしょうか」「そうは思いません」,"Will he recover soon? ""I'm afraid not."""
後で電話しても良いですか。,May I call later?
銃が暴発してしまった。,The gun went off by accident.
あれは古いカメラだ。,That is an old camera.
彼が来るまで私は行けないんです。,I can't go until he comes.
公園にはかなり多くの子供たちがいた。,There were quite a few children in the park.
ベッドでの煙草を禁ずる厳しい規則がある。,There is a very strict rule forbidding smoking in bed.
このサングラスはいくらしたの？,How much did these sunglasses cost?
あなたを誤解してしまってごめんなさい。,I'm sorry I misunderstood you.
彼は彼女の意見を採用した。,He adopted her idea.
他に誰かいるの？,Is there anyone else?
信じられないかもしれないけど、トムは７０歳なんだよ。,"Believe it or not, Tom is 70 years old."
何か軽く食べるものある？,Do we have anything I can snack on?
違うってば。,I said no.
ここに麻薬はないよ。,There are no drugs here.
私は２０１３年生まれよ。,I was born in 2013.
私たちは農家に泊まりました。,We stayed at a farm house.
寝室から彼女の泣きじゃくる声が聞こえた。,I could hear her sobbing in her bedroom.
私は山登りはそんなに楽しくないんです。,Mountain climbing isn't something that I really enjoy so much.
たとえ１０年かかっても、僕はこの仕事をやり遂げる決心だ。,"Even if it takes me ten years, I am determined to accomplish the job."
トムが謝罪の電話をしてきたよ。,Tom called me to apologize.
トムが来るまで僕は行けないんだよ。,"Until Tom comes, I can't go."
医者は好きじゃない。,I don't like doctors.
大抵の人は僕を気違いだと思っている。,Most people think I'm crazy.
誰があの人たちにテーブルマナー教えたのよ。,Who taught them table manners?
もう一度富士山に登りたい。,I wish to climb Mt. Fuji again.
ライオンは動物の王さまです。,The lion is the king of beasts.
叔母さんには三人の子供がいる。,My aunt has three children.
神聖ローマ帝国は１８０６年に終わりを告げた。,The Holy Roman Empire came to an end in the year 1806.
大丈夫ですよ。,No problem!
彼女は料理しなければならないので、毎朝早く起きます。,Every morning she gets up early because she has to cook.
遠くの親戚より近くの他人。,A stranger living nearby is better than a relative living far away.
日が暮れてからは外出してはいけません。,Don't go out after dark.
私は宿題を終えることができなかった。,I was unable to finish my homework.
おいチビ、みんなと同じように並んで。,"Hey kid, get in line like everyone else."
電車は時間どおりに着いた。,The train got in on time.
これが起きると嫌になる。,I hate when this happens.
トイレは右側にあります。,The restroom is on the right.
トムをここへ連れてきて。,Bring Tom in here.
多くの顧客がその弁護士にアドバイスを求めてやってきます。,A lot of clients come to the lawyer for advice.
クレジットカードで支払いたいのですが。,I'd like to pay by credit card.
火災が発生した時、母は偶然そこに居合わせた。,My mother happened to be there when the fire broke out.
今夜会うことが出来ますか。,Can you meet tonight?
トムはね、果物が好きなんだよ。,Tom likes fruit.
彼女は自分が受けた仕打ちに憤りを感じた。,She was indignant at the way she had been treated.
君がそこにいてくれたらよかったのに。,I wish you could've been there.
失礼ですが、お名前を伺ってもよろしいですか。,"Excuse me, but do you mind if ask your name?"
フランス語を習えよ。,Learn French.
子供たちは私が家に帰るまでにクッキーを全部食べてしまっていた。,My children had eaten all the cookies by the time I got home.
彼らは休戦条件で合意した。,They agreed on cease-fire terms.
バスケットボールは上手ですか？,Can you play basketball well?
多くの事故は悪天候によるものだった。,Many accidents were caused by the bad weather.
そんな風に言うものじゃない。,Don't talk like that.
場所は簡単に見つかるって。,I'm sure it'll be easy to find a place.
彼は魚が好きじゃない。,He doesn't like fish.
もうサポートセンターにメールを送りました。,I've already sent an email to the support department.
両国は友好関係を打ち切った。,The countries terminated friendly relations.
自分のフェイスブックのアカウントを削除した。,I deleted my Facebook account.
彼女はヒドイ鼻かぜをひいている。,She has a bad head cold.
行きたくないなら行かなくていいよ。,"If you don't want to go, you don't have to."
お好きなように。,Do as you like.
鼻がつまっています。,I have a stuffed-up nose.
それはよく分かってるよ。,I know it very well.
トムの考えを改めさせようとしましたが、無理でした。,"We tried to get Tom to change his mind, but we couldn't."
私はその音のために眠れませんでした。,I could not sleep because of the noise.
いつもの場所で待っています。,I'll be waiting for you at the usual place.
この自転車は修理する必要があるな。,This bike needs to be repaired.
さきほどおっしゃったことを、もう一度お願いできますか。,Could you please repeat what you just said?
私と一緒に来ない？,Why don't you come with me?
お忙しい時間にお呼び立てしてすみません。,Sorry for bothering you at this busy time.
怒ってるみたいに見えたけど。,You looked angry.
車は運転できるの？,Do you know how to drive a car?
冬には早く日が沈みます。,The sun sets earlier in the winter.
彼は光の速度を計算した。,He calculated the speed of light.
何かプレゼントをあげるね。,I'll give you a present.
日なたに座ってるけど、まだ寒いなぁ。,"I'm sitting in the sun, but I'm still cold."
この靴はいくらですか？,How much are these shoes?
トムが賢いってことは知ってるよ。,I know that Tom is smart.
トムはメアリーが魅力的だとは思っていない。,Tom doesn't think that Mary is attractive.
トムはそのレースに勝ったらしい。,It looks like Tom won the race.
彼が歌を歌った。,He sang a song.
それに関しては私より彼女の方が上手だ。,She's better at it than I am.
これ、私が欲しいやつなんだ。,This is what I want.
私も行ってもいい？,Can I come?
彼がジーンズをはいているのを見たことがない。,I've never seen him in jeans.
あの人って奥さんを例の自動車事故でなくした人ですか？,Is that the man whose wife was killed in the car accident?
指パッチンってできる？,Can you snap your fingers?
私は彼らの両方とも知らない。,I don't know either of them.
テストはどうだった？,How did your test go?
私のパーティーに来ませんか。,Would you like to come to my party?
あの夜のことは何も思い出すことができない。,I can't remember anything about that night.
私たちの部屋をそうじしましょう。,Let's clean our room.
私たちは国民の祝日に旗を立てる。,We put up the flags on national holidays.
英語を話すとき間違いを恐れてはいけない。,Don't be afraid to make mistakes when speaking English.
彼らはスペイン語を少し話すことができます。,They are able to speak Spanish a little.
すみません、少しもどってもらえますか。,I'm sorry. Would you mind turning around?
彼は年を取るにつれて、ますます有名になった。,"The older he got, the more famous he became."
遅くても来ないよりまし。,Better late than never.
その２つをよく比べてみなさい。そうすれば違いがわかります。,"Compare the two carefully, and you will see the difference."
あの単語発音するの、いつも苦労するんだよね。,I always have trouble pronouncing that word.
彼は両足を広く開いて立っていた。,He stood with his feet wide apart.
何が起きたのか知りません。,I don't know what happened.
本をこちらに送るよう、彼女に頼みました。,I asked her to send us the book.
来るなといっても彼女は来るよ。,She'll come even if you tell her not to.
どうした？,What's the matter?
初キスのことは絶対に忘れない。,I'll never forget my first kiss.
私はごはんよりパンのほうが好きだ。,I like bread more than rice.
余計なことはするな。,None of your business.
人生なんてそんなもんよ。,That's the way the ball bounces.
がけくずれで交通は遮断された。,Traffic was blocked by a landslide.
トムはメアリーが隠していた手紙を見つけた。,Tom found the letters Mary had hidden.
彼は壁に蝶が止っているのを見た。,He saw a butterfly on the wall.
私はいつも歩いて学校に通っている。,I always walk to school.
アナウンサーは英語を話した。,The announcer spoke English.
正気ですか。,Are you losing your mind?
私は君ほど文学に興味はない。,I'm not as interested in literature as you are.
私は母ほど早く起きません。,I don't get up as early as my mother.
ハチに刺されたの？,Were you stung by a bee?
彼はすぐに疲れた。,He got tired soon.
この靴はきつすぎる。,These shoes are too tight.
彼は自分の新車を見せびらかした。,He showed off his new car.
コーヒーにクリームを入れる？,Do you put cream in your coffee?
僕は、四時に彼にあうことになっている。,I am supposed to meet him at four.
私たちはいずれこの問題の解決策を見つけると思います。,"We'll eventually find a solution to this problem, I think."
いいからやれよ。,Just do it.
トムは悪い人なんかじゃないわ。,Tom is not a bad person.
トムを探してきます。,I'll go and look for Tom.
私に聞かないでよ。トムに聞いて。,Don't ask me. Ask Tom.
トムはスーパーの前でメアリーを待っている。,Tom is waiting for Mary in front of the supermarket.
あなたかあるいは私が間違っている。,Either you or I am wrong.
ご遠慮させてください。,I'd rather not.
革でできてるんだ。,It's made of leather.
私は高校2年生だ。,I'm in the second year of high school.
確かにこれは最善の方法でないかもしれません。,I admit this may not be the best way of doing it.
私はいつもより遅く着きました。,I arrived later than usual.
頭痛が無くなった。,My head doesn't ache anymore.
彼は私を、私の母と思い違いした。,He mistook me for my mother.
私の彼氏、私よりもかなり若いのよ。,My boyfriend is quite a bit younger than I am.
トムは私と何について話したいって？,What does Tom want to talk to me about?
１０年前に、そこに深い池があった。,There was a deep pond there ten years ago.
トムは僕らを怯えさせようとしているよね？,"Tom is trying to scare us, isn't he?"
ちゃんと聞いてるよ。,I'm all ears.
銀行の近くで、昔の友達にばったり会った。,I ran across an old friend near the bank.
ホームページをつくるのもいいけど、著作権の侵害になるようなことはしてはいません。,"It's fine to set up a web page, just be sure you don't infringe anybody's copyright."
彼女は気が強い。,She's assertive.
日本に来たのはいつなの？,When did you come to Japan?
君が欲しいものは持ってないよ。,I don't have what you want.
この机はトムが使ってるんだ。,This desk is used by Tom.
今日ね、私めっちゃご機嫌なの。,I'm in a very good mood today.
僕、自信過剰だったかも。,Maybe I was too confident.
このことはなかったことにしよう。,We'll pretend this never happened.
この川で泳ぐのは危険だ。,It's dangerous to swim in this river.
眠ったほうがいいよ。,You need to sleep.
もう１０時だ。母は怒っているに違いない。,It's already ten o'clock. My mother must be angry.
誰にでも起こりうることだ。,It could happen to anybody.
見せて。,Let me see.
またお会いできることを楽しみにしております。,We look forward to seeing you again.
お祈りしましょう。,Let's pray.
使いたければ私の車を使ってくれていい。,"You can use my car, if you want to."
ゴミ収集は週に３回やっています。,The garbage collector comes three times a week.
君の推測はまったく的外れだ。,Your guess is entirely off the mark.
本当に本当？,Are you absolutely sure?
それはフランス語で何て言うの？,How do you say that in French?
空気は目に見えない気体の混合体である。,Air is a mixture of gases that we cannot see.
君は彼の奇行を気にしないほうがよい。,You shouldn't worry about his eccentricities.
私はタクシーを待っていました。,I was waiting for a taxi.
私はブーツを１足買った。,I bought a pair of boots.
３０分待ってて。,Wait thirty minutes.
泳げるけど、泳ぐのはあんま好きじゃないんだ。,"I can swim, but I don't really like to."
トムには強いドイツ訛りがある。,Tom has a heavy German accent.
トムにどこに行きたいか聞いてみたんだ。,I asked Tom where he wanted to go.
トムはゆっくり起き上った。,Tom slowly sat up.
その湖には魚がたくさんいる。,There are a lot of fish in that lake.
それは非常に愚かな選択だった。,That was a very stupid choice.
砂漠の真ん中で私たちの車はガス欠になった。,We ran out of gas in the middle of the desert.
トムって、イケメン？,Is Tom good-looking?
その建物は、日本で一番高いです。,That building is the tallest in Japan.
今度の上司は前の上司より少しはましなんじゃないかと思う。,I doubt that our new boss will be any worse than the old one.
まずその問題を解決しなくてはならない。,We have to clear up the problem first.
明日はサッカーの試合だ。,There's a soccer match tomorrow.
私たちがどこに行くのか知っていますか。,Do you know where we're going?
毎日ベッドメイキングをしなきゃいけない？,Do you have to make the bed every day?
彼は父親が台所で倒れているのをみつけた。,He found his father lying in the kitchen.
嵐のために、船は出航できなかった。,"Because of the storm, the ship couldn't leave port."
これ、本当に近道なの？,Is this really a shortcut?
行くよ。,I will go.
私も行った。,I also went.
そのコンピュータ、使えないかも。,The computer might not work.
彼女は白い本を脇に抱えていた。,She had a white book under her arm.
いつ結婚したの？,When did you get married?
子供の頃、母はよく私におとぎ話を読んで聞かせてくれた。,"When I was a child, my mother would often read fairy tales to me."
ねえ、あんたたち、ピザ注文したい？,"Hey, do you guys want to order a pizza?"
仕事はどう？,How's work?
お茶をもう一杯いかが。,Would you like another cup of tea?
彼女はどこへ行っちゃったの。,Where has she gone?
もし十分なお金を持ってたら家を買うのに。,I'd buy a house if I had the money.
彼はドアをノックした。,He knocked on the door.
外務大臣がその会議に出席した。,The foreign minister attended the talks.
素晴らしい食事をありがとう。,Thank you for the great meal.
彼女は通りを横切った。,She crossed the street.
俺の犬、知らない人には吠えかかるんだ。,My dog barks at strangers.
映画を観に行きませんか?,Why don't we go and see a movie?
私は気づいた。,I noticed.
私はめったに歩いて仕事には行かない。,I hardly ever walk to work.
「トムのフランス語ってどうなの？」「かなり上手いよ」,"How's Tom's French? ""Pretty good."""
トムね、体重を落としたいんだって。,Tom says that he wants to lose weight.
トムは中古車販売店を探すため、職業別電話帳を見た。,Tom looked in the yellow pages to find a used car dealer.
愛してるよって言ったら、信じてくれる？,Would you believe me if I told you I love you?
水の無駄遣いだよ！,What a waste of water!
彼はコインを１枚ポケットから取り出した。,He took a coin out of his pocket.
我々は制限速度を守らなくてはならない。,We should observe the speed limit.
だって好きなんだもの。,It's because I love you.
窓を開けたままにしておいて下さい。,Please keep the windows open.
彼が言っていることは、この問題と何の関係もない。,What he says has nothing to do with this problem.
名前を呼ばれたら立ってください。,Stand up when your name is called.
私たちはリンゴを食べた。,We ate some apples.
間抜けだったわ。,I was an idiot.
トムはメアリーの横にしゃがみこんだ。,Tom crouched down beside Mary.
トイレはどこですか。,Where's the bathroom?
トムはそれを知る必要はありません。,Tom doesn't need to know that.
私にはクラブのエースがあるんだ。,I have the ace of clubs.
彼が言ったことは正しくないという事がわかった。,What he said turned out to be false.
この辞書には情報がたくさん入っています。,This dictionary contains a lot of information.
おすすめの薬は何ですか。,What medicine do you recommend?
どうしてそう思うの？,Why do you think that way?
すぐ参ります。,I'll be there right away.
一人かい？,Are you on your own?
医者は彼にお酒を減らすようにアドバイスした。,The doctor advised him to cut back on drinking.
これ以上面倒を起こさないでくれ。,Try to avoid making any more trouble.
トムはメアリーほど辛抱強くない。,Tom is not as patient as Mary.
とても楽しかったです。,I really enjoyed myself.
雨が降ろうが、明日俺は泳ぎに行くからな。,"Even if it rains, I'll go swimming tomorrow."
式典は明日開催されます。,The ceremony will take place tomorrow.
トムはいつも学校の食堂で昼ご飯を食べてるよ。,Tom always eats lunch in the cafeteria.
トムは、低脂肪・高タンパク質ダイエットをしています。,"Tom is on a low-fat, high-protein diet."
もっと早くに出発すればよかった。,I should've left earlier.
トムは眠たそうだった。,Tom looked sleepy.
トムは足元がふらついていた。,Tom was unsteady on his feet.
彼は私の意見に賛成だ。,He agrees with my opinion.
６時に目が覚めるけど、７時になるまでは起きないよ。,"I wake up at six, but I don't get out of bed until seven."
彼女は親切にも私を家まで迎えに来てくれた。,She was kind enough to come pick me up at my house.
母は食卓の準備をした。,My mother set the table for dinner.
電話が鳴ってるよ。,The telephone is ringing.
その地図はどこで手に入りますか。,Where can I get the map?
彼は危うく車にひかれるところだった。,He came near being hit by a car.
私にお金があったら買えたのにな。,"If I'd had enough money, I could've bought it."
時間どおりに着くために彼は走った。,He ran so he would get there on time.
森では鳥が歌っていた。,Birds were singing in the woods.
コカコーラとペプシ、どっちが好き？,"Which do you prefer, Coke or Pepsi?"
