Japanese,English
金光明経,Konkomyo-kyo Sutra
京都博覧会会社,Kyoto Exhibition Company
網代木,"ajirogi (a pile for a woven or plaited wickerwork mat made of strips of bamboo sheathing, thin strips of cryptomeria, straight-grained cryptomeria, paulownia, ditch reed, or cypress bark)"
承和の変,the Jowa Incident
朱印寺領,a temple estate authorized by the shorgunate
近鉄大阪線,Kintetsu Osaka Line
柳原殿,Yanagiwara dono
とはずがたり,Towazugatari (The Confessions of Lady Nijo)
深草山,Fukakusayama
熊本,Kumamoto
西御役所,nishi-oyakusho
木工寮,Mokuryo
浅野長政,Nagamasa ASANO
乙訓総合庁舎,Otokuni General Office
十誦律,Juju-ritsu
ロボット特区,special zone for robot
羽柴藤五郎,Togoro HASHIBA
下桂,Shimo-Katsura
T字路,T-intersection / T-junction
赤松遺臣,surviving retainers of Akamatsu clan
ハートフォード神学校,Hartford Seminary
江見,Emi
赤珊瑚,red Coral
醍醐寺報恩院,Daigo-ji Temple Hoon-in
新潟,Niigata
東京都交通局,The Bureau of Transportation Tokyo Metropolitan Government
山城国葛野,Kadono in the Province of Yamashiro
源頼俊,MINAMOTO-no-Yoritoshi
藤原実長,FUJIWARA no Sanenaga
宮村駅,Miyamura Station
寺院壁画,temple murals
少佑,shojo (junior secretary)
子供神輿,kodomo mikoshi (portable shrine carried by children)
滝部駅,Takibe Station
板障子,ita-shoji (board shoji)
右大文字,Migi-daimonji (right of Daimonji)
涌出宮,Wakideno-miya Shrine
備中高梁駅,Bicchu-Takahashi Station
山水,sansui
花押,Kao (written seal mark)
大阪市交通局,Osaka Municipal Transportation Bureau
昔伊弉諾尊目此国曰。,"Mukashi, Izanagi no son kono kuni wo nazukete iwaku. (Long ago, Izanagi, a male deity of creation, said here is the country;)"
有田屋,Aritaya
ひな祭り,Doll's Festival
十条東寺,Jujo-Toji
思案橋,shianbashi
垂木,taruki 
寂超,Jyakucho
民部少輔,Minbu shoyu
鎌倉建長寺,Kencho-ji Temple in Kamakura
最胤法親王,Cloistered Imperial Prince Saiin
中御門流,Nakamikado-ryu 
藤原光隆,FUJIWARA no Mitsutaka
大村純鎮（すみやす）,Sumiyasu OMURA
市松模様,checkered pattern
別称子育明神,another name is Kosodate myojin
嵐山花見台工業団地,Arashiyama Hanamidai Industrial Park
東北の雄藩,a leading domain in Tohoku
公案,kuge
抜刀隊,army cutting with a gouge
正三位参議,Shosammi Sangi 
富樫幸千代,Kochiyo TOGASHI
中京間,"Chukyo-ma (a standard measurement used for bay size in the Chukyo, Okinawa and part of Hokuriku and Tohoku region. Or the so-called tatami mat sized 182 cm X 91 cm)"
伊豆の国市,Izunokuni City
遷幸,departure of the emperor from the capital
建具,fittings
中臣遺跡,Nakatomi ruin
桃園天皇宸翰光徳勝妙国師号勅書,Momozono Tenno (Emperor Momozono) Shinkan Kotokushomyo-Kokushigo Chokusho
奈古駅,Nago Station
白峯大権現,Shiramine Daigongen
源頼信,MINAMOTO no Yorinobu
七尾祇園祭,Nanao Gion matsuri Festival
正一位の神階,the rank of Shoichii (Senior First Rank) was conferred on the deity of the *** shrine
伊藤景綱,Kagetsuna ITO
忍性塔,Ninshoto Tower
月夜見宮,Tsukiyomi no miya
禰宜の尼,Negini
上野恩賜公園,Ueno Onshi Koen park
伐闍羅弗多羅（ばじゃらぶたら Vajraputra）,"Bajaraputara, Vajraputra"
京都府尋常中学校,Jinjo Junior High School in Kyoto Prefecture
昭海,Shokai
室町時代,Muromachi era
花街の踊り,dance of fleshpots
白石,Shiraishi
梶田社,Kajita-sha Shrine
生命医科学専攻,Life Medical Sciences
こんごうかいまんだら,"Kongokai-mandara, Vajradhatumandala"
嘉陽宮家,Kayanomiya family
高倉会館,Takakura-kaikan Hall
一本松茶屋,Ipponmatsu tea shed
薪猿楽,Takigi sarugaku
東福寺開創,a founder of Tofuku-ji Temple
法華玄義,Hokke gengi (Essentials of the Lotus Sutra)
水庵宗掬（すいあんそうきく）,Suian Sochiku
山階侯爵家,the family of Marquis Yamashina
厄除,ward off evil fortune
薬医門,Yakui-mon gate
常楽寺三重塔,Jorakuji Sanjunoto
表面仕上げ,the finishing of the surface
伊多太神社,Itada-jinja Shrine
知行国主,chigyo-kokushu
おみくじ,omikuji （sacred lots）
釈迦の前世譚,tale of Siddhartha's previous life
仗議,"""Jogi"""
新宿区,Shinjuku Ward
雄蜻蛉,okagero
西部大学林,Seibu Daigakurin
式占,Shikisen
蓮花寺（大杉公園）,Rengeji (Osugi-koen Park)
丹波哲郎,Tetsuro TANBA
梨子地漆,lacquer for a flecked effect
長州征討,the Choshu Conquest
三昧堂,Sanmai-do
烏丸車庫,Karasuma-shako Depot
円地文子,Fumiko ENCHI
三代征夷大将軍,the 3rd Seitaishogun
御井神,Mii no kami
高良社,Kora-sha
桓雄,Kanyu
曙寺,Akebono-dera Temple
三輪逆,MIWA no Sakau
藤原通任夫人,FUJIWARA no Michito's wife
自用印印譜,compilation of seal marks from seals for personal use
高清,Takakiyo
上杉憲勝,Norikatsu UESUGI
隠された十字架,hidden cross
河越城,Kawagoe-jo Castle
阪急京都線河原町駅,Hankyu Railway Kyoto Line Kyoto Station
小坂井澄,Sumi KOSAKAI
第八管区海上保安本部,8th Regional Coast Guard Headquarters
葦原島,Ashihara-jima island
二荒芳之伯爵,Count Yoshiyuki FUTARA
南部晴政,Harumasa NANBU
常陸国下館藩,the domain of Shimodate in the Province of Hitachi
徴兵制支持者,supporter of conscription
香西元盛,Motomori KOZAI
権帥,Gonnosochi (Provisional Governor-General)
散位,Sani
桂三枝,Sanshi KATSURA
武道,martial art
少彦名神,Sukunabikona no kami
桑原古墳,Kuwanohara-kofun Tumulus
御飾,Okazari
付属施設,"annex facilities, affiliated facilities"
安楽庵流 （あんらくあんりゅう）,Anraku school
京都府京都土木事務所,"Kyoto Engineering Office, Kyoto Prefecture"
平維盛,TAIRA no Koremori
佐賀藩,Saga Domain
ピエト・モンドリアン,Piet MONDRIAN
玉心流,Gyokushin-ryu school
板倉好重,Yoshishige ITAKURA
かます切先,Kamasu tip
浮世絵,Ukiyoe
葭屋町通,Yoshiyamachi-dori Street
綾部郵便局,Ayabe post office
リノホテル京都,Rhino Hotel Kyoto
京都伝統産業ふれあい館,Kyoto Museum of Traditional Crafts
具足,"armor, coat of mail"
屋形者,yakatamono(a person who lives in a yakata)
茶席,shaseki
合繊,synthetic
白壁王,Shirakabe no okimi 
音曲,"songs with shamisen accompaniment, musical performance"
はつ花,Hatsuhana (first bloom)
御許丸,Omotomaru
石州流三百ヶ条註解,Sekishu-ryu Sanbyakukajo Chukai (300 articles of Sekishu school's annotation)
能勢氏,the Nose clan
楊谷寺,Yokoku-ji Temple
和田岬（神戸市）,Cape Wada (Kobe-city)
地蔵十輪院,Jizo (Ksitigarbha) Jurinin
さいたま市,Saitama City
細川流弓馬軍礼故実,"Hosokawa-ryu Kyuba-gunrei Kojitsu (Hosokawa's ancient practices of customs about archery, trooper and military etiquette)"
温習会,Onshukai Dance Performance
来島又兵衛,Matabe KIJIMA
浦,Ura
藤間流,Fujima school
尾形光琳,Korin OGATA
石見大田駅（現在の大田市駅),Iwami-Oda Station (Odashi Station)
浅野長直,Naganao ASANO
泉貨紙,Senka-shi (Senka paper)
松拍,matsubayashi
屋久島一湊,"Isso, Yakushima"
欧陽修（おうようしゅう）,Ou-yang Hsui
出雲大社京都分院,Izumo Taisha Kyoto Branch Shrine
舟屋群,Funaya-gun (boat houses)
紀夏井,KI no Natsui
西郷寅太郎,Torataro SAIGO
明智戻り岩,Akechi Modori-iwa Rock
早稲田大学,Waseda University
平方根,square root
北条庶流,a collateral line
豹斎,Hyosai
福井藩,Fukui Domain
加賀国,Kaga Province
THE MOMOTAROHオニ一族,THE MOMOTAROH Oni Ichizoku
大御所,leading or influential figure
七本松通,Shichihonmatsu-dori Street
宝来町,Horaicho
美濃紋書院紙,watermarked Mino Shoin-shi
一尊如来きの,Kino ISSONNYORAI
李嶠百詠断簡（りきょうひゃくえいだんかん,Rikyo Hyakuei dankan
備前焼,Bizen yaki
料理家、美食家,"coocking specialist, an epicure"
藤原伊成,FUJIWARA no Korenari
満願寺,Mangan-ji Temple
袿,uchigi
峰山線,Mineyama Line
極楽往生,gokuraku ojo (peaceful death)
吉良御所,Kira-gosho
ヤオコー 嵐山東口店・嵐山バイパス店,"Yaoko Co., Ltd. Arashiyamahigashi and Arashiyama-bypass"
六軒町通,Rokkenmachi-dori Street
良房流一族,Yoshifusa clan
欄干,rail
ふぐり,testicles
帯,obi 
融通念仏,Yuzu Nenbustu 
紀伊守,Governor of Kii Province
北条宗時,Munetoki HOJO
祓神,harai-gami
大原声明,Ohara Shomyo
後水尾法皇,the Cloistered Emperor Gomizunoo
山科駅前,Yamashinaeki-mae
天台別院,Tendai branch temple
霊社号,Reishago
楽只斎,Rakushisai
所在地・アクセス,Address and access
真鱈,Pacific cod
蛤,a clam
白蓮社,Byakuren-sha
阿部氏,the Abe clan
山川貞清,Sadakiyo YAMAKAWA
多聞天像,Tamonten zo 
今川家本,Imagawakebon
台所蔵,kitchen storehouse
静岡県伊豆の国市長岡,"Nagaoka, Izunokuni City, Shizuoka Prefecture"
すり鉢,"earthenware mortar, mortar"
五色薄絁（うすきぬ）,usukinu
政略結婚,a marrage for political reason/a marrage of expediency
仁南,Jinnan
刈田岳,Katta-dake Mountain
山荘「時雨亭」,"a villa ""Shigure-tei"""
貞観永宝,Jogan-eiho
百大夫社,Hyakudayu-sha Shrine
キス,Sillago
詩・書・画一体,"unity of poem, brushstroke and painting"
太古寺,Taegosa
清水寺,Kiyomizudera Temple
釜淵双級巴,"""Kamabuchi Futatsudomoe"""
龍安寺駅,Ryoanji Station
五力,"fifth, making a false show of power"
JR九州 (九州旅客鉄道),Kyushu Railway Company (JR-Kyushu)
木村成綱,Naritsuna KIMURA
安南絞手水指,Annan-shibori washing water pot (Annan means South China and Vietnam)
無地色紙,plane colored paper
宋風,Chinese Song style
島田忠臣,SHIMADA no Tadaomi
左近派,Sakon-ha school
訴訟当事者,a party to a suit
竹内栖鳳,Seiho TAKEUCHI
阪急京都本線（京都線）,Hankyu Kyoto Line
泉涌寺道,Sennyuji-michi
慈鎮和尚慈円,"Jien, Jichin-osho"
京阪六地蔵,Keihan Rokujizo
李氏朝鮮開国,to open Yi Dynasty Korea
藤原秀吉,FUJIWARA no Hideyoshi
一流アーティスト,artists of the first rank
桂駐屯地,JGSDF Camp Katsura
降伏恭順,surrender and obedience
重綱,Shigetsuna
藤田達生教授,Professor Tatsuo FUJITA
遍照光院,Henjoko-in Temple
惣領氏,Soryo clan
御節料理,osechi food (special food for New Years in Japan)
比企北丘陵,Hiki Northern Hill
花月百首,Kagetsu hyakushu
立命館大学朱雀キャンパス,Suzaku Campus of Ritsumeikan Asia Pacific University
丹後松島,Tango Matsushima
羽曳野市,Habokino City
熊野曼荼羅,Kumano Mandara (Devotional paintings of the three shrines of Kumano)
山本浜,Yamamoto-hama
松平氏,Matsudaira clan
武蔵国神奈川,Kanagawa Musashi Province
楷体,the printed style of writing
陀羅尼集経,Darani Jikkyo Sutra
湯島聖堂,Yushima Seido/Yushima Temple
刀禁呪,Tokinju
種子曼荼羅,"Seed-Syllable Mandala, Shuji mandala"
叡空,Eiku
排日法,Anti-Japanese bill
幅,fuku（scroll）
京都東洞院錦郵便局,Kyoto Higashi no Toin Nishiki Post Office
四宗兼学,Shishu/Yonshu kengaku (learning the four sects)
産湯の井戸,a water well for a newborn baby's first bath
奈良駅,Nara Station
直垂,Hitatare
上御霊前通,Kamigoryomae-dori Street
亜相,Asho
日本史学専攻,Japanese History Program
杣山,Somayama
遠江権守,Provisional Governor of Totomi Province
畠山重忠の乱,Shigetada HATAKEYAMA's War
バーク・コレクション（ニューヨーク）,the Mary Griggs Burke Collection (New York)
群馬県前橋市,"Maebashi City, Gunma Prefecture"
乙若,Otowaka
明銭,Minsen 
南こうせつ,Kosetsu MINAMI
狩野久,Hisashi KANO
香坂高宗,Takamune KOSAKA
後柏原天皇,Emperor Gokashiwabara
東伏見伯爵家,the family of Count Higashifushimi
町田本,Machida-bon
政体書,the Constitution of 1868
玄武館世界忍法武芸連盟,Genbukan Sekai Nimpo Bugei remmei (Genbukan Worldwide Nimpo Bugei League)
諸鬘,Morokazura Vine
和食料理店,Japanese restaurants
畠山義深,Yoshitou HATAKEYAMA
南京市,Nanjing City
西田敏行,Toshiyuki NISHIDA
葛餡,arrowroot thick-liquid candy
海老一海老蔵,Ebiichi Ebizo
卑金属,base metal
備中権守,Bicchu gon no kami
船舶史,history of boats and ships
小浜藩,Obama Domain
徳大寺実定,Sanesada TOKUDAIJI
大念仏寺,Dainenbutsu-ji Temple
近衛家本,Konoekebon
甲西 (駅),Kosei Station
吽(うん)字義,Un-jigi
実績,achievements
京都市営バス九条営業所,"Kujo Office, Kyoto City Bus"
天熊人命（あめのくまひとのみこと）,Amenokumahitono mikoto
佐々木高秀,Takahide SASAKI
清水,Kiyomizu
浪速鉄道,Naniwa Railway
小倉山荘,Ogura villa
福厳寺,Fukugon-ji Temple
八部衆,"Hachibushu, Eight classes of Indian deities who were converted by Shaka and came to be considered protectors of the Dharma"
四條畷市,Shijonawate City
今出川浄福寺バス停,Imadegawa Jofukuji bus stop
武蔵権介,Musashi gon no suke
北村重頼,Shigeyori KITAMURA
右京区,Ukyo Ward
籠祇王,Rogio
下緒,shitao (string)
築堤職人,embankment workman
端喰み,hashibami (a method to avoid warpage of timber)
散手,Sanju music
遷化,died
五辻宮 (家),the Itsutsuji-no-miya family
油掛通,Aburakake-dori Street
牧谿,Mokkei
漢詩文集,a collection of Chinese poems
剽軽,comical
徳川家,the Tokugawa family
観山,Kanzan
教外別伝,"transmission of spiritual awakening without words or characters, but in a heart-to-heart way"
国際化,internationalization
寺社奉行,jisha-bugyo
路傍,wayside
山陰 (自動車) 道,San'in Expressway
天川村洞川（どろがわ）温泉,Amakawa-mura Dorogawa-onsen Hot Spring
難波,Nanba
阿波配流,exile to Awa
志賀 (駅),Shiga Station
村上勘兵衛,Kanbe MURAKAMI
恵仁（あやひと）,Ayahito
伊豆国,Izu Province
大宮御土居,Omiya Odoi
泰勝寺,Taisho-ji Temple
平泉,Hiraizumi
社交界,society
榊原氏,Sakakibara Clan
宗務所,a temple office
豊臣鶴松,Tsurumatsu TOYOTOMI
狩野派永納,Kano-ha Eino
敷居,a doorsill
臨済和尚像,Rinzai Osho-zo
常盤御前,Tokiwa gozen
卯木山妙蓮寺,Myoren-ji Temple on Mt. Uboku
潔世王,Prince Kiyoyo
あつま屋,Atsuma-ya Arbor
金堂円隆寺,Kondo enryaku-ji Temple
菅原孝標女,SUGAWARA no Takasue no musume
尊有,Sonyu
源国経,MINAMOTO no Kunitsune
宝島社,"Takarajimasha, Inc."
大宮交通公園,Omiya Kotsu Koen (Omiya Traffic Park)
神号,shingo
広島,Hiroshima
輔弼,hohitsu
大春日公守,OKASUGA no Kimimori
異端,heterodoxy
日遠,Nichien
寝屋川市太秦,"Uzumasa, Neyagawa City"
南越前町,Minami-echizen-cho
東京海上日動火災保険（株）「西日本研修センター」,"West Japan Training Center, Tokio Marine & Nichido Fire Insurance Co., Ltd."
古器旧物保存方,Edict of antique and old materials protection
五条后,Gojo no kisaki
漆芸,Shitsugei (lacquer art)
二祖日興,Nikko the second
律令制の導入,introduction of the political system based on the ritsuryo codes
保田妙本寺,Hota Myohon-ji Temple
後生,in the following generations
富士沼,Fuji-numa pond
迦哩迦（かりか Kālika）,"Karika, Kalika"
日光地蔵,Nikko Jizo
京都府立植物園,The Kyoto Botanical Garden
手習の巻,Tenarai
三番小隊隊長,Samban-shotai Taicho (commander of Samban platoon)
七譬（しちひ）,Shichihi
住友忠重,Tadashige SUMITOMO
比礼（ひれ）,"hire, sash"
母成峠の戦い,the Battle of Bonari-toge
湧出宮,Wakideno-miya Shrine
早良親王,Imperial Prince Sawara
芝本,Shibamoto
新聞資料室,Newspaper Reading Room
北野天神縁起絵巻,Kitano Tenjin Engi Emaki 
禔子内親王,Imperial Princess Teishi
富岡市,Tomioka City
山内睡隠軒,Yamauchisuiin-ken House-hold
都久夫須麻神社（つくぶすまのかみ）,Tsukubusuma no kami
良如上人,Ryonyo Jonin
鎌倉彫牡丹模様香盒,Incense case with peony pattern in Kamakurabori (articles chiseled in hardwood and repeatedly lacquered in black and vermilion)
ミラノ大学,University of Milan
下桂村,Shimokatsura mura
川上不白,Fuhaku KAWAKAMI
大小,two swards
和歌集,a collection of waka
薄茶,usucha
窯,kiln
中区,Naka Ward
延仁寺,Ennin-ji Temple
トヨタ・センチュリー,TOYOTA Century
源氏追討,to search and kill Genji
板倉勝茂,Katsushige ITAKURA
南法華寺,Minamihokke-ji Temple
構造改革特別区域,designated structural reform district
ノーザンテースト,Northern Taste
神戸市交通局,Kobe City Transportation Bureau
元亀,Genki era
譴責状,letter of reprimand
岩崎京都別邸,the Iwasaki Kyoto Villa
尾張徳川家,the Owari-Tokugawa family
利休流 （りきゅうりゅう）,Rikyu school
奥書院,"Oku Shoin, the inner drawing room"
八戸三社大祭,Hachinohe Sansha Taisai Festival
震旦部,Cinasthana (China) Section
政府山陰道裁判所総督,San'in-do Court Director General
原『源氏物語』短編説,"Short stories of Original ""The Tale of Genji"""
半袈裟,"hangesa, Half surplice"
清涼院,seiryo-in
宮川町,Miyagawa-cho
蒋介石,Chiang Kai-shek
髻中明珠（けいちゅうみょうしゅ）,the parable of a brilliant gem in a king's top-knot
経済新体制確立要綱,new economic structure establishment principle
吉田重賢,Shigekata YOSHIDA
田中文英,Fumihide TANAKA
家,family
三十六歌仙絵巻,Sanjurokkasen-emaki Scroll (picture scroll of the portraits of 36 poets)
西宮記,Saikyuki 
水無瀬親具（本姓高倉）,"Chikatomo MINASE (Legal family name is ""Takakura"")"
種物,Tanemono (topping for noodles)
造山古墳 (島根県),Tsukuriyama tumulus (Shimane Prefecture)
義晴,Yoshiharu
斉明天皇,Emperor Saimei
長尾景虎,Kagetora NAGAO
静岡県伊豆の国市韮山,"Nirayama, Izunokuni City, Shizuoka Prefecture"
高辻烏丸,Takatsuji Karasuma
吉田経俊,Tsunetoshi YOSHIDA
川端今出川,Kawabata Imadegawa
蘇悉地（そしつじ）院,Soshitsuji-in
助奏,obbligato
二条為有,Tameari NIJO
マツモト_(京都府)大井店,Matsumoto Oi Branch
久保田藩士,Kubota clan
伊賀川,Iga-gawa River
華台廟,Kadai-byo
木造韋駄天立像,Mokuzo Idaten Ryuzo (wooden standing statue of Idaten)
来山,entering into the temple
浄真寺,Joshin-ji Temple
ホームセンター「コーナン」宝ヶ池2号店,Home Center KOHNAN Takaragaike 2 Goten
松下電器産業 (パナソニック株式会社),Panasonic Corporation
神産み,kamiumi
列強,powerful countries
御幸門,Miyuki-mon Gate
易姓革命,Ekisei revolution (an old Chinese political thought)
田中吉政,Yoshimasa TANAKA
長岡顕景,Akikage NAGAOKA
美少女仮面ポワトリン,Bishojo (beautiful girl) Kamen (mask) Poitrine
金春通り,Konbaru-dori Street
孤児院,orphanage
狩野岑信,Minenobu KANO
椿説弓張月,Chinsetsu yumiharizuki (The Crescent Moon)
集電装置,power collector
笠置寺解脱の鐘,bell for deliverance from earthly bondage in Kasagi-dera Temple
東京大学予備門,Preparatory School of the University of Tokyo (Tokyo Yobimon)
近江国桐原,Kirihara Omi Province
カーリー,Kali
三浦胤義,Taneyoshi MIURA
度胸試し,"game of chicken, to test one's courage"
観経疏大意,Kangyosho Taii
室山の戦い,Battle of Muroyama
石窟,a stone cave
古生層,Paleozoic strata
法衣装束,hoi shozoku (clerical garment)
嵐山バス停,Arashiyama bus stop
クシナガラ,Kushinagar (Kusinara)
寄附,donation
角倉素庵,Soan SUMINOKURA
蘇洞門,Sotomon
無形民俗文化財,intangible ethnocultural asset
式部少丞,Shikibu shojo
京都市営地下鉄東西線京都市役所前駅,Kyoto City Subway Tozai Line Kyoto Shiyakusho-mae Station
舞鶴港とれとれセンター,Maizuru Port Toretore Center
大証,Osaka Securities Exchange
日野家,Hino Family
武田流,Takeda-ryu school
紀州国,Kishu Province
仁睿王后,Jinei ogo
エコール・サントラル国立理工科学学院,École Centrale
鷹飼部,Takakai-be
聖杯,the Holy Grail
備中松山藩,Bicchu-matsuyama Domain
源師忠,MINAMOTO no Morotada
外務卿,Gaimukyo (chief of Foreign Ministry)
真名井稲荷神社（ウカノミタマ・ウケモチ・豊受比売）,"Manai Inari-jinja Shrine (Ukanomitama, Ukemochi, Toyouke Hime)"
袖口,the size of the wrist openings
火臼祭,Hiusu-matsuri
しつらえ立面図,an elevation view with furnishings
平野門前通,Hiranomonzen-dori Street
通玄門,Tsugenmon-gate
花柳壽輔,Jusuke HANAYAGI
弓馬指南役,kyuba shinanyaku (trainer for an archery and a horsemanship)
文政年間,Bunsei era
農業神,agricultural god
